Customer ID,Segmentation,Churn,Next_purchase_predictions,CLV,Product_recommendations
12376,Champions,1,38.38,Silver-Medium Risk,"1. RETROSPOT HEART HOT WATER BOTTLE, 2. LUNCH BAG RED RETROSPOT, 3. 6 RIBBONS RUSTIC CHARM, 4. LUNCH BAG PINK POLKADOTS, 5. PACK OF 20 NAPKINS RED APPLES"
12377,Lost,0,107.25,Platinum-Low Risk,"1. PACK OF 20 NAPKINS RED APPLES, 2. MEMO BOARD COTTAGE DESIGN, 3. TEA PARTY BIRTHDAY CARD, 4. PLASTERS IN TIN WOODLAND ANIMALS, 5. WOOD ANIMALS HEIGHT CHART STICKERS"
12378,Lost,0,91.87,Platinum-Low Risk,"1. PACK OF 20 NAPKINS RED APPLES, 2. SET/10 BLUE POLKADOT PARTY CANDLES, 3. RIBBON REEL HEARTS DESIGN , 4. SET OF 4 KNICK KNACK TINS  DOILEY , 5. SET/10 RED POLKADOT PARTY CANDLES"
12385,Lost,0,78.14,Gold-Low Risk,"1. MEMO BOARD COTTAGE DESIGN, 2. PACK OF 20 NAPKINS RED APPLES, 3. PLASTERS IN TIN SPACEBOY, 4. WOOD ANIMALS HEIGHT CHART STICKERS , 5. SPACEBOY BIRTHDAY CARD"
12387,Champions,1,25.27,Bronze-Medium Risk,"1. PLASTERS IN TIN MR STRONG , 2. 60 CAKE CASES DOLLY GIRL DESIGN, 3. MINI JIGSAW SPACEBOY, 4. MINI PAINT SET VINTAGE  BOY+ GIRL, 5. CIRCUS PARADE LUNCH BOX"
12388,Loyal,0,46.63,Platinum-Low Risk,"1. BUNDLE OF 3 ALPHABET EXERCISE BOOKS, 2. FOOD COVER WITH BEADS , SET 2 SIZES, 3. PACK OF 20 NAPKINS PANTRY DESIGN, 4. RIBBON REEL HEARTS DESIGN , 5. PICNIC BOXES SET OF 3 RETROSPOT"
12389,Lost,1,475.85,Gold-Low Risk,"1. DOLLY GIRL LUNCH BOX, 2. PLASTERS IN TIN WOODLAND ANIMALS, 3. RIBBON REEL LACE DESIGN , 4. RING OF ROSES BIRTHDAY CARD, 5. STRAWBERRY LUNCH BOX WITH CUTLERY"
12390,At Risk,0,103.89,Bronze-Low Risk,"1. DOLLY GIRL LUNCH BOX, 2. SPACEBOY MINI RUCKSACK, 3. CARD DOLLY GIRL , 4. SET/10 BLUE POLKADOT PARTY CANDLES, 5. WOODLAND MINI RUCKSACK "
12391,Loyal,0,18.96,Platinum-Low Risk,"1. RIBBON REEL HEARTS DESIGN , 2. PACK OF 20 NAPKINS RED APPLES, 3. SET OF 4 KNICK KNACK TINS  DOILEY , 4. RED GINGHAM TEDDY BEAR , 5. TEA PARTY BIRTHDAY CARD"
12392,Champions,1,32.31,Silver-Medium Risk,"1. RED GINGHAM TEDDY BEAR , 2. PARISIENNE KEY CABINET , 3. TRAY FOR TV DINNER ,SPACEBOY, 4. TRAY FOR TV DINNER , DOLLY GIRL, 5. PACK OF 20 NAPKINS RED APPLES"
